Code,Nom français,Nom latin
PRG,Brunelle commune,Prunella vulgaris Linnaeus
PRN,Prunier noir,Prunus nigra Aiton
PRP,Cerisier de pennsylvanie,Prunus pensylvanica Linnaeus f.
PRS,Prenanthe,Nabalus Cassini
PRU,Pruche du canada,Tsuga canadensis (Linnaeus) Carrière
PRV,Cerisier de virginie,Prunus virginiana Linnaeus
PTA,Fougère-aigle,Pteridium aquilinum (Linnaeus) Kuhn
PTC,Hypne plumeuse,Ptilium crista-castrensis (Hedw.) De Not.
PTI,Ptilidie cilié,Ptilidium ciliare (L.) Hampe
PYA,Pyrole à feuilles d'asaret,Pyrola asarifolia Michaux
PYE,Pyrole elliptique,Pyrola elliptica Nuttall
PYR,Pyrole unilatérale,Orthilia secunda (Linnaeus) House
PYS,Pyrole,Pyrola Linnaeus
RAA,Renoncule âcre,Ranunculus acris Linnaeus
RAB,Renoncule abortive,Ranunculus abortivus Linnaeus
RAC,Renoncule scélérate,Ranunculus sceleratus Linnaeus
RAP,Renoncule de pennsylvanie,Ranunculus pensylvanicus Linnaeus f.
RAS,Renoncule,Ranunculus Linnaeus
RES_S,"Résineux (SAB, EPB, PIB, PIR, PRU,THO, EPN,PIG, MEL et EPR",
RHA,Nerprun à feuilles d'aulne,Endotropis alnifolia (L’Héritier) Hauenschild
RHC,Rhododendron du canada,Rhododendron canadense (Linnaeus) Torrey
RHF,Nerprun bourdaine,Frangula alnus Miller
RHM,Nerprun cathartique,Rhamnus cathartica Linnaeus
RHR,Herbe à puce,Toxicodendron radicans (Linnaeus) Kuntze
RHT,Sumac vinaigrier,Rhus typhina Linnaeus
RIA,Gadellier d'amérique,Ribes americanum Miller
RIC,Groseillier des chiens,Ribes cynosbati Linnaeus
RIG,Gadellier glanduleux,Ribes glandulosum Grauer
RIH,Groseillier hérissé,Ribes hirtellum Michaux
RIL,Gadellier lacustre,Ribes lacustre (Persoon) Poiret
RIT,Gadellier amer,Ribes triste Pallas
ROA,Rosier aciculaire,Rosa acicularis Lindley
ROB,Rosier inerme,Rosa blanda Aiton
ROI,Rorippe d'islande,Rorippa islandica (Oeder ex Murray) Borbás
RON,Rosier brillant,Rosa nitida Willdenow
ROP,Robinier faux-acacia,Robinia pseudoacacia Linnaeus
ROS,Rosier,Rosa Linnaeus
